,Target,Model-0,Model-1,Model-2,Model-3,Model-4,Model-5,Model-6,Model-7,Model-8,Ave,SalvaBench,CRPS,DF_0.1,DF_0.5
0,Z1,[ 6.56  9.02 10.42 11.21 11.5  11.39 10.72  9.42  7.2 ],[ 6.66  9.14 10.57 11.01 10.93 10.37  9.1   7.21  4.7 ],[ 5.63  8.52 10.43 11.31 11.59 11.31 10.52  8.94  6.34],[ 8.63 11.17 12.8  13.3  13.01 12.25 10.93  8.89  6.01],[ 8.24 11.28 12.83 13.32 13.27 12.55 11.15  8.96  5.87],[2.6  3.93 4.91 5.56 5.81 5.75 5.32 4.59 3.3 ],[2.75 4.27 5.26 5.81 5.97 5.71 5.26 4.49 3.19],[3.12 5.01 6.43 7.3  7.77 7.77 7.29 6.36 4.61],[ 9.91 13.24 14.98 15.54 15.13 14.32 12.62 10.05  6.4 ],[2.52 4.37 5.92 7.22 8.1  8.3  7.78 6.41 4.11],[2.34 3.78 4.69 5.28 5.56 5.51 5.09 4.31 2.96],[2.39 3.77 4.7  5.29 5.55 5.47 5.05 4.27 2.9 ],[2.58 4.2  5.3  5.86 6.09 6.29 6.59 6.07 4.05],[2.32 3.74 4.69 5.3  5.58 5.53 5.1  4.32 2.94]
0,Z1,[ 6.56  9.02 10.42 11.21 11.5  11.39 10.72  9.42  7.2 ],[ 6.66  9.14 10.57 11.01 10.93 10.37  9.1   7.21  4.7 ],[ 5.63  8.52 10.43 11.31 11.59 11.31 10.52  8.94  6.34],[ 8.63 11.17 12.8  13.3  13.01 12.25 10.93  8.89  6.01],[ 8.24 11.28 12.83 13.32 13.27 12.55 11.15  8.96  5.87],[2.6  3.93 4.91 5.56 5.81 5.75 5.32 4.59 3.3 ],[2.75 4.27 5.26 5.81 5.97 5.71 5.26 4.49 3.19],[3.12 5.01 6.43 7.3  7.77 7.77 7.29 6.36 4.61],[ 9.91 13.24 14.98 15.54 15.13 14.32 12.62 10.05  6.4 ],[2.52 4.37 5.92 7.22 8.1  8.3  7.78 6.41 4.11],[2.34 3.76 4.71 5.34 5.62 5.58 5.17 4.35 3.01],[2.38 3.75 4.68 5.29 5.54 5.46 5.03 4.27 2.89],[2.48 3.9  4.84 5.41 5.63 5.58 5.3  4.78 3.51],[2.43 3.81 4.74 5.34 5.57 5.49 5.06 4.3  2.97]
0,Z1,[ 6.56  9.02 10.42 11.21 11.5  11.39 10.72  9.42  7.2 ],[ 6.66  9.14 10.57 11.01 10.93 10.37  9.1   7.21  4.7 ],[ 5.63  8.52 10.43 11.31 11.59 11.31 10.52  8.94  6.34],[ 8.63 11.17 12.8  13.3  13.01 12.25 10.93  8.89  6.01],[ 8.24 11.28 12.83 13.32 13.27 12.55 11.15  8.96  5.87],[2.6  3.93 4.91 5.56 5.81 5.75 5.32 4.59 3.3 ],[2.75 4.27 5.26 5.81 5.97 5.71 5.26 4.49 3.19],[3.12 5.01 6.43 7.3  7.77 7.77 7.29 6.36 4.61],[ 9.91 13.24 14.98 15.54 15.13 14.32 12.62 10.05  6.4 ],[2.52 4.37 5.92 7.22 8.1  8.3  7.78 6.41 4.11],[2.34 3.78 4.73 5.36 5.64 5.61 5.19 4.36 3.03],[2.38 3.76 4.69 5.3  5.55 5.47 5.04 4.27 2.89],[2.45 4.04 5.04 5.65 6.03 6.16 6.13 5.54 3.82],[2.37 3.76 4.71 5.32 5.58 5.5  5.07 4.28 2.91]
0,Z1,[ 6.56  9.02 10.42 11.21 11.5  11.39 10.72  9.42  7.2 ],[ 6.66  9.14 10.57 11.01 10.93 10.37  9.1   7.21  4.7 ],[ 5.63  8.52 10.43 11.31 11.59 11.31 10.52  8.94  6.34],[ 8.63 11.17 12.8  13.3  13.01 12.25 10.93  8.89  6.01],[ 8.24 11.28 12.83 13.32 13.27 12.55 11.15  8.96  5.87],[2.6  3.93 4.91 5.56 5.81 5.75 5.32 4.59 3.3 ],[2.75 4.27 5.26 5.81 5.97 5.71 5.26 4.49 3.19],[3.12 5.01 6.43 7.3  7.77 7.77 7.29 6.36 4.61],[ 9.91 13.24 14.98 15.54 15.13 14.32 12.62 10.05  6.4 ],[2.52 4.37 5.92 7.22 8.1  8.3  7.78 6.41 4.11],[2.35 3.77 4.71 5.34 5.61 5.54 5.11 4.31 2.94],[2.38 3.76 4.69 5.29 5.54 5.46 5.03 4.26 2.88],[2.39 3.85 4.78 5.37 5.61 5.55 5.22 4.59 3.34],[2.34 3.76 4.71 5.33 5.61 5.54 5.1  4.33 2.97]
0,Z1,[ 6.56  9.02 10.42 11.21 11.5  11.39 10.72  9.42  7.2 ],[ 6.66  9.14 10.57 11.01 10.93 10.37  9.1   7.21  4.7 ],[ 5.63  8.52 10.43 11.31 11.59 11.31 10.52  8.94  6.34],[ 8.63 11.17 12.8  13.3  13.01 12.25 10.93  8.89  6.01],[ 8.24 11.28 12.83 13.32 13.27 12.55 11.15  8.96  5.87],[2.6  3.93 4.91 5.56 5.81 5.75 5.32 4.59 3.3 ],[2.75 4.27 5.26 5.81 5.97 5.71 5.26 4.49 3.19],[3.12 5.01 6.43 7.3  7.77 7.77 7.29 6.36 4.61],[ 9.91 13.24 14.98 15.54 15.13 14.32 12.62 10.05  6.4 ],[2.52 4.37 5.92 7.22 8.1  8.3  7.78 6.41 4.11],[2.38 3.77 4.71 5.31 5.58 5.5  5.07 4.27 2.89],[2.38 3.76 4.69 5.29 5.54 5.46 5.04 4.26 2.89],[2.47 3.87 4.78 5.37 5.57 5.48 5.08 4.37 3.14],[2.46 3.86 4.74 5.3  5.53 5.45 5.06 4.32 3.02]
0,Z1,[ 6.56  9.02 10.42 11.21 11.5  11.39 10.72  9.42  7.2 ],[ 6.66  9.14 10.57 11.01 10.93 10.37  9.1   7.21  4.7 ],[ 5.63  8.52 10.43 11.31 11.59 11.31 10.52  8.94  6.34],[ 8.63 11.17 12.8  13.3  13.01 12.25 10.93  8.89  6.01],[ 8.24 11.28 12.83 13.32 13.27 12.55 11.15  8.96  5.87],[2.6  3.93 4.91 5.56 5.81 5.75 5.32 4.59 3.3 ],[2.75 4.27 5.26 5.81 5.97 5.71 5.26 4.49 3.19],[3.12 5.01 6.43 7.3  7.77 7.77 7.29 6.36 4.61],[ 9.91 13.24 14.98 15.54 15.13 14.32 12.62 10.05  6.4 ],[2.52 4.37 5.92 7.22 8.1  8.3  7.78 6.41 4.11],[2.43 3.83 4.73 5.33 5.57 5.47 5.05 4.23 2.86],[2.38 3.76 4.68 5.29 5.53 5.46 5.03 4.26 2.88],[2.55 4.51 6.23 7.61 8.5  8.65 8.04 6.57 4.17],[2.39 3.78 4.7  5.27 5.53 5.46 5.05 4.3  2.92]
0,Z1,[ 6.56  9.02 10.42 11.21 11.5  11.39 10.72  9.42  7.2 ],[ 6.66  9.14 10.57 11.01 10.93 10.37  9.1   7.21  4.7 ],[ 5.63  8.52 10.43 11.31 11.59 11.31 10.52  8.94  6.34],[ 8.63 11.17 12.8  13.3  13.01 12.25 10.93  8.89  6.01],[ 8.24 11.28 12.83 13.32 13.27 12.55 11.15  8.96  5.87],[2.6  3.93 4.91 5.56 5.81 5.75 5.32 4.59 3.3 ],[2.75 4.27 5.26 5.81 5.97 5.71 5.26 4.49 3.19],[3.12 5.01 6.43 7.3  7.77 7.77 7.29 6.36 4.61],[ 9.91 13.24 14.98 15.54 15.13 14.32 12.62 10.05  6.4 ],[2.52 4.37 5.92 7.22 8.1  8.3  7.78 6.41 4.11],[2.42 3.81 4.72 5.31 5.55 5.45 5.03 4.22 2.85],[2.38 3.77 4.68 5.29 5.53 5.46 5.04 4.27 2.89],[2.49 3.95 4.9  5.45 5.67 5.62 5.4  4.89 3.51],[2.4  3.81 4.77 5.39 5.64 5.54 5.09 4.32 2.98]
0,Z1,[ 6.56  9.02 10.42 11.21 11.5  11.39 10.72  9.42  7.2 ],[ 6.66  9.14 10.57 11.01 10.93 10.37  9.1   7.21  4.7 ],[ 5.63  8.52 10.43 11.31 11.59 11.31 10.52  8.94  6.34],[ 8.63 11.17 12.8  13.3  13.01 12.25 10.93  8.89  6.01],[ 8.24 11.28 12.83 13.32 13.27 12.55 11.15  8.96  5.87],[2.6  3.93 4.91 5.56 5.81 5.75 5.32 4.59 3.3 ],[2.75 4.27 5.26 5.81 5.97 5.71 5.26 4.49 3.19],[3.12 5.01 6.43 7.3  7.77 7.77 7.29 6.36 4.61],[ 9.91 13.24 14.98 15.54 15.13 14.32 12.62 10.05  6.4 ],[2.52 4.37 5.92 7.22 8.1  8.3  7.78 6.41 4.11],[2.46 3.9  4.79 5.34 5.57 5.46 5.03 4.24 2.86],[2.39 3.77 4.69 5.29 5.54 5.47 5.04 4.28 2.91],[2.49 4.06 5.09 5.72 6.04 6.22 6.18 5.53 3.78],[2.45 3.84 4.72 5.3  5.54 5.47 5.11 4.38 3.09]
0,Z1,[ 6.56  9.02 10.42 11.21 11.5  11.39 10.72  9.42  7.2 ],[ 6.66  9.14 10.57 11.01 10.93 10.37  9.1   7.21  4.7 ],[ 5.63  8.52 10.43 11.31 11.59 11.31 10.52  8.94  6.34],[ 8.63 11.17 12.8  13.3  13.01 12.25 10.93  8.89  6.01],[ 8.24 11.28 12.83 13.32 13.27 12.55 11.15  8.96  5.87],[2.6  3.93 4.91 5.56 5.81 5.75 5.32 4.59 3.3 ],[2.75 4.27 5.26 5.81 5.97 5.71 5.26 4.49 3.19],[3.12 5.01 6.43 7.3  7.77 7.77 7.29 6.36 4.61],[ 9.91 13.24 14.98 15.54 15.13 14.32 12.62 10.05  6.4 ],[2.52 4.37 5.92 7.22 8.1  8.3  7.78 6.41 4.11],[2.47 3.91 4.78 5.31 5.56 5.46 5.07 4.32 2.95],[2.38 3.76 4.69 5.29 5.54 5.47 5.04 4.27 2.9 ],[2.46 4.02 4.99 5.61 6.03 6.24 6.1  5.43 3.74],[2.4  3.79 4.71 5.28 5.54 5.46 5.04 4.26 2.88]
