,Quantile,Iteration,Model-0,Model-1,Model-2,CC-Ave,BRC-Ave,CC-Juanmi,CC-Salva,CC-LR,CC-Diff,adaptCC-LR,adaptCC-MLP
0,0.1,0,5.58,5.77,3.48,3.34,3.91,3.41,3.23,3.22,3.25,3.16,3.29
0,0.1,1,5.58,4.93,4.82,4.36,4.62,4.75,4.5,4.45,4.36,4.38,4.39
0,0.1,2,8.46,6.35,8.2,5.13,6.72,6.35,5.75,6.35,5.07,5.1,5.08
0,0.1,3,8.19,8.46,6.35,5.13,6.72,6.35,5.74,6.35,5.09,5.08,5.08
0,0.1,4,6.41,10.2,9.07,5.97,7.56,6.41,6.07,6.21,5.77,5.79,5.76
0,0.2,0,6.17,7.64,9.24,5.26,6.36,5.33,5.06,5.08,5,4.87,4.88
0,0.2,1,8.33,6.72,9.06,7.21,7.37,6.64,6.57,6.56,6.57,6.6,6.61
0,0.2,2,8.71,7.84,7.62,6.54,6.75,6.75,6.55,6.53,6.47,6.51,6.5
0,0.2,3,9.96,7.71,6.17,5.08,6.34,5.38,5.04,5.08,4.96,4.85,4.95
0,0.2,4,8.58,5.18,7.47,5.89,5.6,5.66,5.04,5.05,5.04,5.04,5.01
0,0.3,0,11.04,10.57,9.12,9.33,8.95,9.2,8.62,8.65,8.56,8.7,8.6
0,0.3,1,11.67,11.04,10.57,10.59,10.37,10.65,10.46,10.45,10.34,10.45,10.31
0,0.3,2,12.74,14.78,6.39,7.14,9.27,6.39,6.37,6.36,6.32,6.25,6.28
0,0.3,3,12.04,9.08,9.49,8.85,8.96,8.93,8.87,8.87,8.94,8.87,8.93
0,0.3,4,10.48,14.39,5.73,6.63,8.28,5.73,5.69,5.68,5.57,5.6,5.56
0,0.4,0,8.96,7.32,10.85,6.95,7.34,6.79,6.63,6.63,6.32,6.3,6.32
0,0.4,1,13.18,11.83,13.36,12.49,12.09,12.16,11.98,11.83,11.79,11.83,12.11
0,0.4,2,10.51,10.45,10.66,9.22,8.97,9.12,9.08,9.12,9.01,9.04,8.97
0,0.4,3,10.27,7.9,10.3,8.2,7.91,7.03,6.91,6.98,6.89,6.71,6.88
0,0.4,4,10.59,11.65,11.54,10.73,10.21,10.54,10.58,10.57,10.81,10.84,10.79
0,0.5,0,11.17,10.2,11.96,9.07,9.29,9.17,9.12,9.13,9.08,9,9.07
0,0.5,1,11.34,12.53,15.04,11.85,11.71,10.9,10.84,10.89,10.91,10.74,10.77
0,0.5,2,12.22,11.53,12.81,10.92,10.81,10.86,10.83,10.86,10.88,10.82,10.94
0,0.5,3,11.4,11.96,12.02,10.07,10.08,9.95,9.91,9.93,9.93,9.84,9.97
0,0.5,4,13.06,13.73,12.95,12.38,11.81,12.14,12.12,12.1,12.15,12.09,12.17
