,Quantile,risk_aversion,Target,CRPS-LR,CRPS-MLP,SalvaBench-LR,SalvaBench-MLP,DF-LR_1,DF-MLP_1
0,0.2,0.5,Z1,4.04,4.17,4.19,4.22,4.08,4.07
1,0.2,0.5,Z2,6.77,6.3,6.61,6.47,6.710000000000001,6.959999999999999
2,0.2,0.5,Z3,5.66,5.7299999999999995,6.05,5.970000000000001,5.74,5.81
3,0.2,0.5,Z4,5.42,5.38,5.949999999999999,5.74,5.4,5.08
4,0.2,0.5,Z5,4.4799999999999995,4.52,4.82,5.56,4.46,4.65
5,0.2,0.5,Z6,5.01,4.92,5.4399999999999995,5.65,4.84,4.9799999999999995
6,0.2,0.5,Z7,3.65,3.5900000000000003,3.6900000000000004,3.56,3.6900000000000004,3.5700000000000003
7,0.2,0.5,Z8,4.62,4.64,4.760000000000001,4.67,4.64,4.61
8,0.2,0.5,Z9,4.6,4.65,4.67,4.68,4.6899999999999995,4.52
9,0.2,0.5,Z10,6.18,5.96,6.59,6.72,6.21,5.9799999999999995
