,Quantile,risk_aversion,Target,Model-0,Model-1,Model-2,Model-3,Model-4,Model-5,Model-6,Model-7,Model-8,Ave,Insample,SalvaBench,CRPS,DF_0,DF_0.1,DF_1,DF_10
0,0.2,0.5,Z1,10.33,11.09,10.79,13.79,14.23,4.47,4.51,5.53,16.470000000000002,6.859999999999999,4.92,4.14,4.09,4.14,4.109999999999999,4.07,4.07
1,0.2,0.5,Z2,8.870000000000001,11.02,9.48,11.88,12.48,8.97,9.08,7.99,11.97,7.140000000000001,7.109999999999999,6.67,6.75,6.890000000000001,6.84,6.74,6.76
2,0.2,0.5,Z3,6.48,8.93,9.98,11.68,12.39,7.57,7.66,5.949999999999999,11.86,6.74,6.460000000000001,5.7,5.92,5.69,5.72,5.8500000000000005,5.87
3,0.2,0.5,Z4,8.07,7.99,11.1,7.829999999999999,8.27,8.52,8.459999999999999,7.56,12.42,6.0600000000000005,5.84,5.609999999999999,5.86,5.76,5.72,5.67,5.69
4,0.2,0.5,Z5,8.02,7.449999999999999,9.85,4.82,5.7299999999999995,8.28,8.3,7.739999999999999,10.11,5.76,5.18,4.569999999999999,4.49,4.45,4.4799999999999995,4.4799999999999995,4.4799999999999995
5,0.2,0.5,Z6,7.86,7.630000000000001,9.66,5.26,5.71,8.129999999999999,8.14,7.62,10.03,5.779999999999999,5.3100000000000005,5.18,5.07,4.83,4.83,4.859999999999999,4.92
6,0.2,0.5,Z7,5.21,10.190000000000001,10.79,10.75,13.43,13.94,3.91,5.37,16.1,6.7299999999999995,4.79,3.58,3.64,3.75,3.65,3.63,3.63
7,0.2,0.5,Z8,6.2,10.82,11.5,11.64,14.249999999999998,14.75,4.859999999999999,6.1899999999999995,16.72,7.66,5.970000000000001,4.66,4.7,4.859999999999999,4.760000000000001,4.68,4.68
8,0.2,0.5,Z9,5.01,9.94,9.0,10.780000000000001,13.66,14.21,6.140000000000001,6.03,15.809999999999999,6.710000000000001,5.489999999999999,4.590000000000001,4.63,4.81,4.72,4.6899999999999995,4.63
9,0.2,0.5,Z10,9.27,6.890000000000001,9.39,7.66,8.41,8.469999999999999,9.26,9.4,8.59,7.000000000000001,6.77,6.34,6.4799999999999995,6.35,6.370000000000001,6.419999999999999,6.47
